Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
22.07.2023;23.07.2023;96.525,50;43.578,50;42.773,00;200.621,25;256.175,00;2.569,50;0,00;116.796,00;39.576,50;75.939,25;22.721,50;33.322,75
23.07.2023;24.07.2023;94.823,50;38.435,50;98.224,50;412.672,50;200.183,50;2.495,00;0,00;94.225,00;39.883,75;66.381,75;11.767,50;34.808,00
24.07.2023;25.07.2023;96.749,50;41.839,00;50.678,50;348.609,75;181.832,75;2.493,00;0,00;134.364,75;53.544,50;123.201,25;29.366,00;35.493,25
25.07.2023;26.07.2023;96.911,25;51.439,00;76.269,00;196.757,50;178.382,00;2.557,00;0,00;146.107,50;51.318,50;149.619,00;22.888,75;34.903,25
26.07.2023;27.07.2023;96.205,50;54.004,75;65.805,50;238.572,25;225.330,00;2.629,50;0,00;130.496,50;59.352,00;114.384,00;17.250,25;36.234,75
27.07.2023;28.07.2023;96.317,25;51.173,75;31.565,50;310.280,75;125.074,25;2.584,00;0,00;144.735,75;45.921,75;98.588,50;22.612,25;36.622,75
28.07.2023;29.07.2023;96.433,50;49.242,25;4.523,25;235.264,50;175.929,00;2.535,75;0,00;157.093,00;41.145,50;129.568,50;29.964,50;33.985,50
29.07.2023;30.07.2023;96.630,75;48.912,75;41.873,75;205.709,00;199.848,50;2.450,50;0,00;109.302,25;37.615,00;78.030,50;26.263,75;29.425,25
30.07.2023;31.07.2023;95.167,75;45.096,50;72.565,50;324.619,75;223.221,50;2.397,50;0,00;99.994,75;41.781,50;58.865,25;10.744,50;33.900,50
31.07.2023;01.08.2023;96.135,00;44.537,50;50.894,25;497.154,00;158.021,75;2.474,75;0,00;91.008,50;39.539,25;68.000,00;27.933,50;35.307,50
01.08.2023;02.08.2023;96.419,50;46.679,75;56.946,00;475.508,50;171.709,00;2.604,00;0,00;94.642,50;54.731,00;77.360,00;26.219,25;28.385,75
02.08.2023;03.08.2023;96.961,00;51.404,75;64.467,50;447.864,00;141.156,00;2.709,25;0,00;89.233,25;51.058,00;86.124,00;31.046,00;29.914,50
03.08.2023;04.08.2023;96.432,75;50.419,75;54.853,50;643.161,25;204.945,50;2.697,00;0,00;78.043,75;51.779,25;75.011,25;17.573,75;29.647,75
04.08.2023;05.08.2023;98.414,50;56.099,00;54.901,00;146.022,25;190.877,25;2.705,25;0,00;112.093,25;59.151,25;122.294,75;42.317,75;27.480,75
05.08.2023;06.08.2023;98.720,25;55.075,50;16.586,25;78.091,50;196.589,25;2.766,00;0,00;98.242,25;37.791,75;105.288,00;25.322,00;28.090,50
06.08.2023;07.08.2023;97.492,50;52.496,50;26.445,25;238.738,50;145.118,00;2.725,50;0,00;91.395,50;34.194,25;52.834,00;26.917,00;34.607,75
07.08.2023;08.08.2023;94.585,75;51.141,25;56.964,75;651.701,75;165.241,75;2.682,25;0,00;106.668,00;59.922,75;80.218,25;29.399,25;33.123,25
08.08.2023;09.08.2023;94.725,25;49.564,00;73.811,75;565.531,75;219.863,75;2.695,50;0,00;111.529,25;64.771,25;94.832,25;27.929,00;32.252,25
09.08.2023;10.08.2023;97.897,50;55.066,00;81.495,75;253.705,25;197.585,50;2.695,00;0,00;125.440,25;60.194,00;143.373,25;28.929,75;26.359,00
10.08.2023;11.08.2023;99.296,50;56.892,75;34.871,25;62.412,75;299.545,25;2.693,50;0,00;146.375,00;56.511,75;160.705,75;28.820,75;31.156,25
11.08.2023;12.08.2023;98.729,00;51.630,25;28.374,00;53.146,00;309.819,00;2.635,50;0,00;151.180,00;63.512,75;132.320,00;30.808,00;31.150,25
12.08.2023;13.08.2023;98.521,00;45.993,75;46.690,00;151.831,50;185.313,25;2.525,50;0,00;126.471,00;35.971,25;65.823,00;21.784,00;26.523,75
13.08.2023;14.08.2023;98.077,25;42.550,50;61.676,25;97.598,25;234.733,50;2.545,75;0,00;102.514,00;39.635,50;76.841,75;17.184,75;26.862,75
14.08.2023;15.08.2023;97.814,50;46.762,00;27.732,75;56.009,75;260.116,75;2.522,25;0,00;155.914,00;72.162,50;137.592,25;34.024,25;27.440,00
15.08.2023;16.08.2023;96.237,25;47.284,00;58.113,75;112.338,00;227.449,75;2.640,50;0,00;164.006,25;59.075,75;146.824,00;27.267,25;32.148,50
16.08.2023;17.08.2023;97.298,25;50.845,00;20.601,25;65.992,75;239.832,25;2.934,00;0,00;179.716,25;69.494,75;172.574,75;24.092,00;32.588,00
17.08.2023;18.08.2023;98.062,25;51.358,25;39.615,75;143.264,50;195.225,75;2.980,00;0,00;185.003,00;72.326,25;125.564,75;27.927,75;32.813,25
18.08.2023;19.08.2023;97.509,75;50.052,75;62.535,75;85.410,50;284.319,25;2.587,25;0,00;183.471,75;58.566,25;136.241,00;30.098,25;32.320,75
19.08.2023;20.08.2023;97.151,25;45.266,00;78.301,50;135.104,50;246.015,00;2.564,75;0,00;124.566,00;39.831,50;87.374,25;25.344,75;31.301,75
20.08.2023;21.08.2023;97.109,25;44.202,75;16.600,25;50.140,00;281.137,50;2.540,25;0,00;131.726,25;47.915,50;94.606,00;22.198,25;31.805,25
21.08.2023;22.08.2023;97.737,75;44.412,75;11.847,50;35.665,50;277.261,00;2.546,00;0,00;238.311,25;104.771,50;175.287,75;35.962,50;34.241,00
22.08.2023;23.08.2023;97.215,25;45.941,00;16.436,75;51.798,75;260.018,00;2.503,25;0,00;275.448,50;134.560,25;198.921,25;30.928,25;34.888,50
23.08.2023;24.08.2023;97.550,00;47.265,25;16.341,25;38.897,25;281.008,25;2.501,25;0,00;265.417,50;155.250,00;199.955,25;34.422,50;33.533,25
24.08.2023;25.08.2023;98.005,75;47.043,00;18.283,50;65.259,25;241.143,00;2.459,00;0,00;272.704,00;169.198,00;205.000,50;32.433,00;33.466,25
25.08.2023;26.08.2023;98.072,50;48.271,75;14.807,00;171.932,75;151.599,00;2.579,75;0,00;268.158,50;115.016,25;196.176,00;29.426,75;34.832,00
26.08.2023;27.08.2023;97.854,75;43.802,25;24.004,75;188.368,50;203.533,00;2.702,50;0,00;220.809,75;50.216,50;102.321,25;14.748,75;34.742,75
27.08.2023;28.08.2023;97.720,25;47.345,75;23.890,75;112.300,75;122.324,25;2.761,50;0,00;205.413,00;39.796,75;84.680,25;11.638,75;35.015,00
28.08.2023;29.08.2023;98.801,25;44.508,00;31.279,50;125.565,25;125.180,25;2.693,00;0,00;265.197,75;107.131,00;176.013,50;22.472,00;35.268,00
29.08.2023;30.08.2023;99.034,25;38.181,00;7.839,75;51.318,75;111.772,00;2.673,50;0,00;295.263,50;134.883,25;203.274,00;29.465,25;34.873,00
30.08.2023;31.08.2023;98.524,00;47.541,50;27.788,25;108.791,50;171.731,00;2.643,25;0,00;283.350,25;113.249,00;162.593,25;23.701,50;31.243,75
31.08.2023;01.09.2023;98.342,25;52.690,00;38.790,75;289.076,75;195.346,25;2.580,00;0,00;240.890,25;69.453,50;138.074,25;18.931,50;30.524,00
01.09.2023;02.09.2023;98.576,00;55.739,50;24.730,00;142.789,75;167.061,25;2.559,00;0,00;241.285,75;66.301,50;147.301,00;32.003,25;31.966,25
02.09.2023;03.09.2023;98.016,50;54.035,00;12.936,50;31.865,75;240.168,00;2.573,25;0,00;179.212,75;51.415,75;112.169,25;22.849,00;31.241,50
03.09.2023;04.09.2023;96.171,75;50.634,00;32.693,00;75.390,50;220.659,75;2.510,00;0,00;156.628,75;33.813,00;90.094,00;15.172,00;35.384,00
04.09.2023;05.09.2023;96.895,25;48.934,25;13.461,25;112.575,50;288.655,25;2.522,00;0,00;181.805,00;60.381,75;130.937,25;30.438,75;35.405,25
05.09.2023;06.09.2023;95.953,50;48.940,50;10.925,00;175.171,50;281.377,75;2.527,50;0,00;207.239,00;60.544,75;145.579,75;28.749,75;35.266,00
06.09.2023;07.09.2023;94.804,75;50.100,25;28.446,50;113.394,75;284.770,25;2.423,50;0,00;230.079,50;74.421,75;159.246,25;33.309,25;32.776,75
07.09.2023;08.09.2023;94.314,25;46.656,75;68.279,25;239.123,00;292.005,50;2.621,25;0,00;210.372,50;68.982,50;138.457,00;23.049,50;32.779,00
08.09.2023;09.09.2023;94.666,25;46.491,50;32.756,00;142.087,00;284.024,50;2.872,75;0,00;218.474,00;85.961,00;162.047,50;35.179,00;33.335,00
09.09.2023;10.09.2023;94.747,00;44.724,50;5.583,00;43.392,25;276.848,25;2.937,25;0,00;224.918,50;68.893,75;121.186,00;23.445,25;34.796,50
10.09.2023;11.09.2023;94.327,50;43.777,50;5.875,25;14.018,75;262.867,75;2.912,00;0,00;202.591,00;68.189,50;106.311,00;19.544,50;33.799,00
11.09.2023;12.09.2023;95.175,75;45.498,50;41.430,50;38.947,00;263.323,00;2.990,00;0,00;240.082,75;112.939,00;171.583,00;36.361,75;34.285,00
12.09.2023;13.09.2023;95.766,75;46.089,25;39.834,50;52.482,50;211.906,50;3.090,00;0,00;275.123,50;160.819,00;181.903,50;29.977,25;32.624,00
13.09.2023;14.09.2023;94.943,50;46.988,00;78.988,75;192.701,75;119.631,75;3.218,75;0,00;282.340,50;138.613,00;154.972,25;19.738,50;32.757,75
14.09.2023;15.09.2023;94.299,75;47.324,50;21.624,00;42.148,25;218.550,00;3.276,00;0,00;291.633,75;153.820,50;177.102,75;31.293,00;35.803,75
15.09.2023;16.09.2023;95.988,25;44.256,25;28.471,00;134.715,50;261.424,00;3.308,00;0,00;266.306,00;84.776,00;138.089,25;28.012,50;36.064,50
16.09.2023;17.09.2023;95.459,25;40.281,25;13.468,25;112.484,25;250.707,50;3.200,75;0,00;187.279,50;59.455,75;80.435,00;27.617,50;32.570,25
17.09.2023;18.09.2023;94.107,75;39.329,75;35.222,75;113.272,00;219.407,00;3.009,25;0,00;160.922,00;49.371,50;73.643,75;19.117,25;34.839,00
18.09.2023;19.09.2023;94.194,50;38.584,75;75.780,75;436.834,00;119.818,25;3.070,50;0,00;169.112,00;76.033,00;91.888,50;27.859,75;39.468,25
19.09.2023;20.09.2023;93.612,75;41.862,75;53.478,00;594.858,50;185.437,00;3.103,50;0,00;152.009,25;71.556,25;79.320,50;32.456,75;35.289,75
20.09.2023;21.09.2023;94.640,00;41.176,25;69.026,75;454.148,75;221.589,50;3.149,25;0,00;151.870,50;89.280,75;97.196,25;28.236,00;31.983,75
21.09.2023;22.09.2023;95.552,00;40.617,50;36.898,25;346.989,50;184.282,25;3.187,00;0,00;207.409,75;101.091,00;101.399,25;34.417,75;34.774,75
22.09.2023;23.09.2023;96.091,00;39.905,25;44.238,75;283.370,00;98.779,50;3.342,75;0,00;257.671,75;93.086,00;119.546,00;34.390,75;35.601,75
23.09.2023;24.09.2023;96.033,25;49.208,75;35.421,25;285.830,25;161.324,50;3.314,75;0,00;179.763,00;41.583,00;66.458,00;20.053,75;35.299,75
24.09.2023;25.09.2023;95.973,25;43.048,75;90.208,00;120.025,00;223.178,25;3.126,00;0,00;129.731,25;47.124,00;54.380,75;18.629,50;35.535,75
25.09.2023;26.09.2023;97.737,75;41.463,00;89.141,00;228.657,50;241.581,50;3.192,75;0,00;177.587,50;114.423,50;108.214,00;31.344,75;34.450,50
26.09.2023;27.09.2023;101.825,75;43.361,25;23.989,50;36.450,50;231.793,75;3.101,75;0,00;262.814,25;158.469,75;142.866,25;33.477,75;34.600,75
27.09.2023;28.09.2023;101.530,50;41.773,00;36.242,25;78.169,75;215.091,75;3.090,25;0,00;256.045,50;157.999,00;133.579,00;31.387,50;33.412,00
28.09.2023;29.09.2023;101.553,75;38.397,75;109.307,75;169.004,75;208.375,00;3.136,25;0,00;233.271,00;98.660,00;115.094,75;31.640,25;33.094,75
29.09.2023;30.09.2023;101.291,00;37.801,25;101.822,75;304.698,25;144.898,75;3.241,75;0,00;247.109,25;65.241,00;105.806,00;20.806,75;34.978,00
30.09.2023;01.10.2023;102.100,25;34.286,50;74.862,00;199.850,75;179.037,00;3.079,75;0,00;199.958,00;46.370,25;80.299,00;25.630,75;33.106,50
01.10.2023;02.10.2023;101.679,25;32.819,50;57.441,50;141.078,50;186.989,25;3.180,25;0,00;166.051,75;34.622,75;70.780,75;19.307,75;36.686,75
02.10.2023;03.10.2023;102.932,00;35.187,50;29.692,50;136.696,25;198.884,00;3.213,25;0,00;239.100,75;87.969,50;123.210,50;35.825,75;36.329,00
03.10.2023;04.10.2023;99.857,25;32.876,25;96.441,75;657.241,00;123.121,25;2.957,25;0,00;96.718,50;45.935,75;66.589,50;17.595,00;34.389,25
04.10.2023;05.10.2023;101.919,25;33.482,50;109.959,50;511.100,00;166.870,25;3.258,25;0,00;137.564,25;89.184,25;121.141,50;35.093,50;34.176,50
05.10.2023;06.10.2023;103.034,25;34.865,25;80.164,00;390.692,75;123.977,50;3.273,50;0,00;188.639,50;101.395,75;163.005,75;37.596,25;35.395,75
06.10.2023;07.10.2023;100.705,50;32.106,25;115.091,00;504.566,50;165.611,75;3.360,25;0,00;164.508,25;81.593,75;123.505,50;34.359,75;35.351,00
07.10.2023;08.10.2023;97.372,50;30.497,25;45.223,50;603.178,50;105.984,25;3.034,25;0,00;112.607,50;50.185,00;74.849,00;23.318,50;34.122,25
08.10.2023;09.10.2023;99.014,75;31.129,00;30.936,25;136.717,75;116.648,25;3.347,75;0,00;167.145,25;44.914,25;113.077,00;27.058,25;36.476,00
09.10.2023;10.10.2023;99.870,50;38.089,75;61.511,25;235.904,75;62.818,50;3.278,50;0,00;253.989,50;131.446,75;212.111,25;38.078,50;36.679,25
10.10.2023;11.10.2023;100.080,25;35.062,25;74.846,50;199.081,00;145.342,50;3.353,25;0,00;275.075,25;143.783,25;185.792,50;29.504,75;39.332,00
11.10.2023;12.10.2023;97.965,75;33.424,00;100.379,50;637.656,75;168.495,75;2.893,50;0,00;155.417,25;99.004,25;82.842,25;32.055,00;35.773,00
12.10.2023;13.10.2023;100.570,75;34.238,50;62.804,50;301.700,50;74.732,25;3.239,75;0,00;263.799,75;178.893,25;173.563,00;40.851,00;37.220,00
13.10.2023;14.10.2023;97.536,50;31.739,50;72.694,75;626.998,75;125.684,25;3.147,50;0,00;174.751,00;72.168,00;107.759,25;25.870,75;34.401,75
14.10.2023;15.10.2023;94.762,75;29.045,50;82.332,00;654.955,50;110.031,25;2.934,50;0,00;101.100,25;68.929,00;71.944,25;40.347,00;35.458,25
15.10.2023;16.10.2023;94.198,25;28.571,25;120.060,25;509.724,00;120.911,00;3.005,50;0,00;130.019,25;68.643,00;76.239,75;22.237,00;35.523,25
16.10.2023;17.10.2023;94.542,00;29.595,00;79.514,50;174.938,50;148.568,75;3.229,25;0,00;302.318,75;188.616,25;157.801,75;29.367,25;37.306,25
17.10.2023;18.10.2023;95.097,75;32.271,25;13.484,25;118.103,25;123.821,50;3.634,00;0,00;356.889,50;208.324,75;178.047,50;25.820,00;38.249,00
18.10.2023;19.10.2023;95.314,00;30.185,50;100.560,75;360.781,50;130.793,75;3.542,25;0,00;284.807,00;87.786,25;119.635,00;21.803,75;35.591,00
19.10.2023;20.10.2023;94.992,00;29.918,25;121.537,25;458.641,00;52.539,50;3.320,00;0,00;226.670,25;128.144,75;142.785,00;33.478,75;35.679,50
20.10.2023;21.10.2023;94.502,00;28.337,25;49.360,00;689.208,00;36.221,75;3.422,50;0,00;175.673,75;90.739,00;125.614,75;26.382,75;34.924,50
21.10.2023;22.10.2023;94.636,00;37.004,75;108.573,25;424.338,50;112.497,50;3.268,00;0,00;116.954,75;57.252,25;74.296,25;31.403,75;32.145,50
22.10.2023;23.10.2023;94.941,75;31.666,75;115.970,00;406.348,25;120.936,00;3.400,00;0,00;160.319,25;47.523,00;67.880,25;21.051,25;33.175,00
23.10.2023;24.10.2023;98.428,75;35.165,50;32.865,50;156.783,75;106.913,75;3.673,50;0,00;336.700,50;145.488,75;183.114,50;41.313,25;33.172,50
24.10.2023;25.10.2023;101.180,00;35.600,00;116.443,75;251.863,75;29.436,50;3.730,50;0,00;346.375,25;152.819,50;190.678,75;25.500,25;36.812,00
25.10.2023;26.10.2023;101.559,00;34.278,75;102.000,75;264.139,75;89.125,50;3.746,00;0,00;320.737,00;173.107,75;174.542,00;22.634,75;33.428,75
26.10.2023;27.10.2023;102.348,00;33.966,75;85.784,25;201.824,75;45.001,50;3.832,25;0,00;329.530,50;189.321,00;188.327,50;24.120,50;33.088,75
27.10.2023;28.10.2023;102.911,25;36.357,25;111.659,50;181.567,75;48.521,00;3.927,25;0,00;339.719,00;167.589,50;136.683,25;28.603,50;35.455,25
28.10.2023;29.10.2023;102.874,00;35.961,75;109.957,75;311.057,75;74.054,50;3.709,75;0,00;147.692,50;50.063,00;70.701,00;27.635,50;34.616,50
29.10.2023;30.10.2023;104.600,00;31.834,75;153.771,00;694.880,00;65.529,00;3.299,50;0,00;87.002,25;40.849,25;47.586,75;21.306,00;29.303,25
30.10.2023;31.10.2023;103.509,50;31.260,00;94.194,50;409.790,00;80.153,25;3.552,00;0,00;221.664,00;111.976,25;139.630,50;37.898,00;35.720,25
31.10.2023;01.11.2023;103.765,25;44.491,00;41.957,00;480.516,00;49.960,00;3.594,00;0,00;237.644,75;81.776,50;116.054,25;27.189,00;35.792,25
01.11.2023;02.11.2023;103.558,75;42.171,00;115.065,00;424.836,25;92.256,50;3.446,75;0,00;115.605,00;40.007,00;84.496,50;13.541,50;35.536,25
02.11.2023;03.11.2023;102.097,25;37.007,75;113.264,00;770.723,25;35.604,25;2.969,00;0,00;108.588,75;66.601,25;81.677,50;22.865,75;35.231,75
03.11.2023;04.11.2023;102.253,00;49.281,75;120.955,50;550.118,50;51.915,50;3.344,00;0,00;131.330,75;58.751,75;114.526,50;46.397,25;33.867,00
04.11.2023;05.11.2023;97.994,25;43.122,00;138.052,50;660.718,75;88.483,75;2.800,25;0,00;80.004,00;36.176,75;60.840,25;20.022,00;32.266,25
05.11.2023;06.11.2023;97.746,25;38.603,50;62.737,00;645.281,50;49.374,25;2.791,00;0,00;95.545,00;34.835,00;59.931,25;26.865,50;32.276,75
06.11.2023;07.11.2023;98.709,00;39.747,50;103.655,25;793.705,25;81.829,00;3.064,25;0,00;151.543,50;61.973,25;114.751,00;33.867,00;32.947,50
07.11.2023;08.11.2023;100.241,50;42.617,50;119.224,75;597.536,50;65.635,50;3.335,00;0,00;204.991,25;88.456,75;138.589,50;37.757,75;31.003,00
08.11.2023;09.11.2023;99.922,75;39.399,00;130.758,25;672.153,25;74.783,75;3.502,75;0,00;208.341,25;95.456,00;127.087,75;27.409,75;29.923,25
09.11.2023;10.11.2023;102.473,25;37.786,50;73.239,50;603.448,75;49.442,50;3.602,00;0,00;262.039,00;121.855,00;131.565,00;21.251,00;30.476,75
10.11.2023;11.11.2023;105.701,75;40.362,75;90.553,00;461.580,25;56.177,50;3.724,50;0,00;303.562,00;91.357,00;148.200,50;35.078,00;32.150,00
11.11.2023;12.11.2023;104.691,75;38.637,75;28.409,75;312.756,25;53.559,75;4.139,50;0,00;289.465,50;74.728,00;133.011,00;21.048,75;34.132,00
12.11.2023;13.11.2023;103.968,25;38.609,00;23.302,25;143.880,25;57.818,00;4.003,75;0,00;291.964,75;71.394,50;126.190,50;23.287,25;34.039,00
13.11.2023;14.11.2023;105.046,00;46.807,00;65.291,50;498.870,25;27.097,50;3.815,25;0,00;252.286,00;96.565,50;141.879,50;36.082,25;33.787,50
14.11.2023;15.11.2023;103.387,00;46.113,00;67.390,75;832.520,00;30.578,50;3.297,25;0,00;161.699,25;102.654,75;107.036,25;30.960,50;31.106,00
15.11.2023;16.11.2023;104.466,75;47.186,00;62.652,75;479.897,50;49.002,00;3.676,00;0,00;285.341,50;130.190,50;169.175,75;34.270,00;33.536,25
16.11.2023;17.11.2023;105.166,00;52.062,50;50.872,00;379.598,00;41.291,75;4.233,00;0,00;318.163,50;207.139,75;235.279,25;34.331,00;38.660,25
17.11.2023;18.11.2023;106.178,75;50.908,25;18.975,75;228.306,75;43.338,00;4.419,75;0,00;359.751,25;224.952,50;236.127,75;38.182,25;35.988,50
18.11.2023;19.11.2023;105.599,75;44.717,75;96.158,25;288.222,00;48.438,75;4.315,25;0,00;237.060,25;67.673,00;151.456,00;16.525,75;35.769,25
19.11.2023;20.11.2023;102.945,00;45.236,50;108.032,75;699.475,75;49.223,75;3.583,25;0,00;110.007,25;50.228,50;84.918,25;26.394,25;34.837,25
20.11.2023;21.11.2023;104.997,75;50.321,50;29.870,25;417.596,50;42.396,00;4.209,75;0,00;272.483,50;167.390,75;192.836,00;34.881,50;33.944,25
21.11.2023;22.11.2023;105.444,75;52.525,50;73.371,50;173.519,00;28.592,50;4.288,75;0,00;341.282,00;259.273,25;243.929,25;30.916,75;33.247,00
22.11.2023;23.11.2023;104.916,00;48.718,75;92.855,25;268.347,00;47.490,25;4.283,25;0,00;329.592,50;207.105,00;248.966,50;27.054,25;31.507,75
23.11.2023;24.11.2023;102.969,75;46.681,50;61.798,00;932.900,00;37.578,25;3.441,50;0,00;136.676,00;137.384,50;202.332,50;21.438,25;33.050,00
24.11.2023;25.11.2023;101.375,25;43.448,75;86.567,25;854.937,75;36.348,25;4.193,00;0,00;137.534,50;146.905,00;172.720,00;29.811,25;31.025,25
25.11.2023;26.11.2023;101.843,50;45.902,50;95.337,50;457.461,75;29.745,25;4.123,25;0,00;232.909,75;133.254,75;146.233,25;16.439,00;31.724,00
26.11.2023;27.11.2023;102.224,50;43.519,75;32.684,75;185.754,50;34.753,00;4.422,25;0,00;331.393,50;203.443,75;212.197,00;13.865,00;34.031,75
27.11.2023;28.11.2023;102.841,25;44.407,00;90.522,50;328.121,50;20.490,25;4.487,50;0,00;361.066,25;205.574,00;271.401,50;25.178,00;32.617,50
28.11.2023;29.11.2023;102.885,00;49.983,25;87.224,25;304.955,00;13.522,50;4.526,25;0,00;338.418,75;237.696,50;296.212,00;34.876,50;33.225,00
29.11.2023;30.11.2023;102.863,50;51.689,25;54.129,00;405.476,75;17.895,00;4.664,50;0,00;349.332,00;264.755,00;303.415,50;32.213,25;33.661,25
30.11.2023;01.12.2023;103.677,50;54.054,25;26.569,50;38.871,75;13.260,00;4.696,25;0,00;366.218,50;275.038,00;353.602,50;39.195,00;36.315,50
01.12.2023;02.12.2023;103.712,75;51.950,75;41.327,75;49.484,25;5.257,50;4.759,25;0,00;376.162,75;274.822,00;345.597,00;33.142,00;36.313,25
02.12.2023;03.12.2023;103.232,75;48.179,75;16.383,50;69.324,50;7.228,00;4.538,75;0,00;365.522,50;260.161,25;301.559,50;24.088,00;33.638,25
03.12.2023;04.12.2023;102.654,75;44.505,25;59.219,50;157.720,50;18.017,25;4.461,00;0,00;358.693,25;232.690,50;225.909,00;16.031,75;33.671,00
04.12.2023;05.12.2023;103.762,25;44.438,75;105.544,50;370.586,00;4.906,25;4.537,50;0,00;374.657,00;236.766,00;292.868,25;27.609,75;34.343,50
05.12.2023;06.12.2023;103.661,00;45.746,75;138.792,25;395.319,00;10.919,50;4.101,50;0,00;360.062,50;221.517,25;280.360,00;28.907,50;33.970,25
06.12.2023;07.12.2023;104.192,00;50.769,75;73.306,00;155.898,25;7.381,50;4.483,75;0,00;364.086,00;245.353,25;330.594,75;37.887,75;37.868,25
07.12.2023;08.12.2023;103.894,50;47.616,75;33.608,75;122.176,25;31.763,75;4.520,25;0,00;359.285,50;233.619,75;325.368,75;29.477,00;38.946,50
08.12.2023;09.12.2023;104.314,50;41.422,00;102.342,50;288.497,00;9.404,00;4.517,75;0,00;363.217,50;174.737,50;269.485,25;26.783,50;34.501,00
09.12.2023;10.12.2023;103.356,50;39.626,25;137.310,25;514.008,50;23.758,00;4.451,25;0,00;230.525,75;79.960,75;150.706,50;6.774,25;33.028,75
10.12.2023;11.12.2023;101.313,75;40.251,75;87.609,00;754.705,00;26.495,75;3.329,00;0,00;146.212,00;49.672,25;112.179,75;15.667,00;30.747,75
11.12.2023;12.12.2023;102.172,75;44.577,75;32.084,75;645.858,75;22.166,00;4.114,25;0,00;305.050,00;104.113,50;153.491,25;26.682,75;32.296,75
12.12.2023;13.12.2023;101.355,50;44.367,00;66.906,50;207.957,00;23.665,75;4.156,00;0,00;376.646,75;204.991,00;249.526,50;31.541,50;35.525,00
13.12.2023;14.12.2023;101.868,75;42.683,50;156.696,75;282.653,25;23.077,00;4.439,75;0,00;360.920,75;165.181,00;236.897,50;20.524,75;34.162,25
14.12.2023;15.12.2023;103.297,50;45.266,75;35.064,50;112.445,75;16.511,25;4.469,00;0,00;377.679,00;210.203,50;275.031,50;36.999,50;33.753,25
15.12.2023;16.12.2023;103.765,50;45.751,75;82.315,75;259.008,50;20.111,25;4.420,00;0,00;371.592,00;138.724,00;214.875,25;27.180,00;35.340,00
16.12.2023;17.12.2023;102.604,50;42.166,75;121.051,75;551.206,00;39.549,75;3.463,75;0,00;175.634,25;102.436,75;158.500,25;21.930,25;32.955,50
17.12.2023;18.12.2023;102.122,25;39.258,50;88.577,25;607.935,25;55.993,00;3.288,00;0,00;154.671,50;119.849,75;140.486,50;18.868,25;32.453,75
18.12.2023;19.12.2023;103.761,75;41.842,75;118.236,50;628.288,00;59.787,00;3.595,25;0,00;187.975,50;131.098,75;177.573,25;30.218,50;34.466,50
19.12.2023;20.12.2023;104.794,00;42.760,50;102.489,00;626.656,25;39.232,50;3.969,25;0,00;207.800,25;99.902,00;174.348,75;29.913,00;36.874,25
20.12.2023;21.12.2023;103.853,25;40.327,75;108.537,00;815.759,75;26.221,75;3.269,50;0,00;133.162,00;91.694,75;163.635,75;28.153,50;34.187,75
21.12.2023;22.12.2023;101.789,25;39.927,75;104.551,00;1.044.918,25;7.985,75;3.040,50;0,00;92.168,25;77.458,25;102.260,50;27.157,25;30.891,25
22.12.2023;23.12.2023;100.695,50;44.603,00;118.975,00;995.239,25;17.985,50;3.107,50;0,00;91.630,00;53.919,00;88.441,50;32.715,25;29.996,00
23.12.2023;24.12.2023;101.294,25;46.071,00;98.599,75;716.101,00;10.714,00;3.232,00;0,00;93.399,75;50.299,00;89.651,25;40.201,50;33.727,25
24.12.2023;25.12.2023;98.051,00;42.705,50;111.521,50;851.255,75;10.762,50;3.025,25;0,00;82.016,00;34.412,50;70.982,25;15.004,25;33.171,50
25.12.2023;26.12.2023;98.104,50;42.920,00;105.364,50;739.584,75;28.408,50;3.026,50;0,00;82.346,50;35.773,50;71.620,25;31.019,50;33.256,00
26.12.2023;27.12.2023;97.693,00;42.908,00;119.056,50;783.633,00;28.899,50;3.085,00;0,00;93.139,00;38.254,25;80.189,25;17.671,50;33.006,75
27.12.2023;28.12.2023;100.039,00;43.156,75;97.257,50;411.669,25;50.748,75;4.013,50;0,00;110.483,00;43.467,25;130.200,00;38.715,50;36.108,50
28.12.2023;29.12.2023;99.198,25;40.550,50;125.059,50;895.990,00;31.729,25;3.186,00;0,00;77.666,00;59.713,50;81.379,25;29.938,50;34.916,50
29.12.2023;30.12.2023;100.683,75;39.773,25;130.810,75;932.315,25;30.031,00;3.243,50;0,00;74.794,50;60.773,75;74.988,50;23.990,50;33.108,50
30.12.2023;31.12.2023;102.158,50;39.471,50;135.191,25;638.871,25;46.203,25;3.723,00;0,00;79.325,25;53.990,00;82.644,25;40.818,00;33.966,50
31.12.2023;01.01.2024;102.991,75;40.013,50;136.906,50;642.169,25;26.130,25;3.366,25;0,00;78.428,50;48.256,25;73.237,00;23.333,75;33.267,00
